question,answer,source,focus_area
What are the treatments for Prostate Cancer ?,"Hormonal therapy deprives cancer cells of the male hormones they need to grow and survive. This treatment is often used for prostate cancer that has spread to other parts of the body. Sometimes doctors use hormonal therapy to try to keep the cancer from coming back after surgery or radiation treatment. Side effects can include impotence, hot flashes, loss of sexual desire, and thinning of bones.",NIHSeniorHealth,Prostate Cancer
What are the treatments for Prostate Cancer ?,"Regardless of the type of treatment you receive, you will be closely monitored to see how well the treatment is working. Monitoring may include - a PSA blood test, usually every 3 months to 1 year.  - bone scan and/or CT scan to see if the cancer has spread. a PSA blood test, usually every 3 months to 1 year. bone scan and/or CT scan to see if the cancer has spread. - a complete blood count to monitor for signs and symptoms of anemia.  - looking for signs or symptoms that the disease might be progressing, such as fatigue, increased pain, or decreased bowel and bladder function. a complete blood count to monitor for signs and symptoms of anemia. looking for signs or symptoms that the disease might be progressing, such as fatigue, increased pain, or decreased bowel and bladder function.",NIHSeniorHealth,Prostate Cancer
What are the treatments for Prostate Cancer ?,"Through research, doctors are trying to find new, more effective ways to treat prostate cancer. Cryosurgery -- destroying cancer by freezing it -- is under study as an alternative to surgery and radiation therapy. To avoid damaging healthy tissue, the doctor places an instrument known as a cryoprobe in direct contact with the tumor to freeze it. Doctors are studying new ways of using radiation therapy and hormonal therapy, too. Studies have shown that hormonal therapy given after radiation therapy can help certain men whose cancer has spread to nearby tissues. Scientists are also testing the effectiveness of chemotherapy and biological therapy for men whose cancer does not respond or stops responding to hormonal therapy. They are also exploring new ways to schedule and combine various treatments. For example, they are studying hormonal therapy to find out if using it to shrink the tumor before a man has surgery or radiation might be a useful approach. They are also testing combinations of hormone therapy and vaccines to prevent recurrence of prostate cancer. In 2010, the FDA approved a therapeutic cancer vaccine, Provenge, for use in some men with metastatic prostate cancer. This approval was based on the results of a clinical trial that demonstrated a more than 4-month improvement in overall survival compared with a placebo vaccine. Other similar vaccine therapies are in development.",NIHSeniorHealth,Prostate Cancer
Who is at risk for Prostate Cancer? ?,"Researchers are studying changes in genes that may increase the risk for developing prostate cancer. Some studies are looking at the genes of men who were diagnosed with prostate cancer at a relatively young age, less than 55 years old, and the genes of families who have several members with the disease. Other studies are trying to identify which genes, or arrangements of genes, are most likely to lead to prostate cancer. Much more work is needed, however, before scientists can say exactly how genetic changes relate to prostate cancer. At the moment, no genetic risk has been firmly established.",NIHSeniorHealth,Prostate Cancer
What is (are) Dry Mouth ?,"Dry mouth is the feeling that there is not enough saliva in the mouth. Everyone has dry mouth once in a while -- if they are nervous, upset, under stress, or taking certain medications. But if you have dry mouth all or most of the time, see a dentist or physician. Many older adults have dry mouth, but it is not a normal part of aging. (Watch the video to learn more about dry mouth. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Why Saliva is Important Saliva does more than keep your mouth wet. It protects teeth from decay, helps heal sores in your mouth, and prevents infection by controlling bacteria, viruses, and fungi in the mouth. Saliva helps digest food and helps us chew and swallow. Saliva is involved in taste perception as well. Each of these functions of saliva is hampered when a person has dry mouth. How Dry Mouth Feels Dry mouth can be uncomfortable. Some people notice a sticky, dry feeling in the mouth. Others notice a burning feeling or difficulty while eating. The throat may feel dry, too, making swallowing difficult and choking common. Also, people with dry mouth may get mouth sores, cracked lips, and a dry, rough tongue.",NIHSeniorHealth,Dry Mouth
What causes Dry Mouth ?,"People get dry mouth when the glands in the mouth that make saliva are not working properly. Because of this, there might not be enough saliva to keep your mouth healthy. There are several reasons why these glands, called salivary glands, might not work right. Medicines and Dry Mouth More than 400 medicines, including some over-the-counter medications, can cause the salivary glands to make less saliva, or to change the composition of the saliva so that it can't perform the functions it should. As an example, medicines for urinary incontinence, allergies, high blood pressure, and depression often cause dry mouth. Diseases That Can Cause Dry Mouth Some diseases can affect the salivary glands. Dry mouth can occur in patients with diabetes. Dry mouth is also the hallmark symptom of the fairly common autoimmune disease Sjgren's syndrome. Sjgren's syndrome can occur either by itself or with another autoimmune disease like rheumatoid arthritis or lupus. Salivary and tear glands are the major targets of the syndrome and the result is a decrease in production of saliva and tears. The disorder can occur at any age, but the average person with the disorder at the Sjgren's Syndrome Clinic of the National Institute of Dental and Craniofacial Research (NIDCR) is in his or her late 50s. Women with the disorder outnumber men 9 to 1. Cancer Treatments and Dry Mouth Certain cancer treatments can affect the salivary glands. Head and neck radiation therapy can cause the glands to produce little or no saliva. Chemotherapy may cause the salivary glands to produce thicker saliva, which makes the mouth feel dry and sticky. Injury to the head or neck can damage the nerves that tell salivary glands to make saliva.",NIHSeniorHealth,Dry Mouth
What are the treatments for Dry Mouth ?,"Treatment for Dry Mouth  Dry mouth treatment will depend on what is causing the problem. If you think you have dry mouth, see your dentist or physician. He or she can help to determine what is causing your dry mouth. If your dry mouth is caused by medicine, your physician might change your medicine or adjust the dosage. If your salivary glands are not working right but can still produce some saliva, your dentist or physician might give you a medicine that helps the glands work better. Your dentist or physician might also suggest that you use artificial saliva to keep your mouth wet. Do's and Don'ts Do's - Do drink water or sugarless drinks often. That will make chewing and swallowing easier when eating.  - Do chew sugarless gum or suck on sugarless hard candy to stimulate saliva flow.  - Do use a humidifier at night to promote moisture in the air while you sleep. Do drink water or sugarless drinks often. That will make chewing and swallowing easier when eating. Do chew sugarless gum or suck on sugarless hard candy to stimulate saliva flow. Do use a humidifier at night to promote moisture in the air while you sleep. Donts - Don't consume drinks with caffeine such as coffee, tea, and some sodas. Caffeine can dry out the mouth.  - Don't use tobacco or alcohol. They dry out the mouth. Don't consume drinks with caffeine such as coffee, tea, and some sodas. Caffeine can dry out the mouth. Don't use tobacco or alcohol. They dry out the mouth. Gene Therapy Research for Salivary Gland Dysfunction Scientists at NIHs National Institute of Dental and Craniofacial Research (NIDCR) are exploring the potential use of gene therapy to treat salivary gland dysfunction. The idea is to transfer additional or replacement genes into the salivary glands of people with Sjgren's syndrome and cancer patients whose salivary glands were damaged during radiation treatment. The hope is that these genes will increase the production of saliva and eliminate the chronic parched sensation that bothers people with dry mouth conditions. NIDCR recently completed a clinical study, a research study in humans, on gene therapy for radiation-damaged salivary glands. The study showed that gene therapy can be safely performed in salivary glands and that it has the potential to help head and neck cancer survivors with dry mouth. Read NIDCRs news release  to learn more about the studys findings. Based on the promising results of this trial, similar clinical trials are planned in the near future. Research on Sjgrens Syndrome and Other Diseases Affecting Salivary Glands NIDCR is also conducting clinical trials to study new approaches for improving salivary flow in patients with Sjogrens syndrome. Such studies include testing the effectiveness of a monoclonal antibody as well as a corticosteroid to see whether either of these treatments helps improve salivary flow. Other studies are focused on learning how diseases such as diabetes, auto inflammatory diseases, and granulomatous diseases cause salivary gland dysfunction. Such studies could one day lead to better ways of preventing and treating salivary gland conditions. To stay abreast of any new studies on gene therapy and salivary gland function, visit ClinicalTrials.gov.  ClinicalTrials.gov lists all federally and many privately funded clinical trials in the U.S. and around the world; the web site is updated frequently.",NIHSeniorHealth,Dry Mouth
What is (are) Dry Mouth ?,"Dry mouth is the condition of not having enough saliva, or spit, to keep your mouth wet. Everyone has dry mouth once in a while -- if they are nervous, upset, or under stress. But if you have dry mouth all or most of the time, it can be uncomfortable and lead to serious health problems. Though many older adults have dry mouth, it is not a normal part of aging. (Watch the video to learn more about dry mouth. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Dry Mouth
What is (are) Dry Mouth ?,"Saliva does more than keep your mouth wet. It helps digest food, protects teeth from decay, helps to heal sores in your mouth, and prevents infection by controlling bacteria, viruses, and fungi in the mouth. Saliva is also what helps us chew and swallow. Each of these functions of saliva is hampered when a person has dry mouth.",NIHSeniorHealth,Dry Mouth
What causes Dry Mouth ?,"Dry mouth can cause several problems, including difficulty tasting, chewing, swallowing, and speaking. Swallowing may be especially difficult for those with too little saliva. For example, people with dry mouth may be unable to swallow dry food at all unless they also drink fluids with food. They also need to take small bites of food and be very aware of chewing and swallowing so they don't choke. Dry mouth may also increase the chance of developing dental decay as well as oral fungal infections such as thrush, which causes painful white patches in the mouth.",NIHSeniorHealth,Dry Mouth
What are the symptoms of Dry Mouth ?,"Dry mouth can be uncomfortable. Some people notice a sticky, dry feeling in the mouth. Others notice a burning feeling or difficulty while eating. The throat may feel dry, too, and swallowing without extra fluids can often be difficult. Also, people with dry mouth may develop mouth sores, cracked lips, and a dry, rough tongue.",NIHSeniorHealth,Dry Mouth
What causes Dry Mouth ?,"Yes. More than 400 medicines, including some over-the-counter medications, can cause the salivary glands to make less saliva, or to change the composition of the saliva so that it can't perform the functions it should. As an example, medicines for urinary incontinence, allergies, high blood pressure, and depression often cause dry mouth.",NIHSeniorHealth,Dry Mouth
What are the treatments for Dry Mouth ?,"Certain cancer treatments can affect the salivary glands. Head and neck radiation therapy can cause the glands to produce little or no saliva. Chemotherapy may cause the salivary glands to produce thicker saliva, which makes the mouth feel dry and sticky.",NIHSeniorHealth,Dry Mouth
What causes Dry Mouth ?,Some diseases affect the salivary glands. Sjgren's syndrome and diabetes can cause dry mouth. Injury to the head or neck can damage the nerves that tell salivary glands to make saliva.,NIHSeniorHealth,Dry Mouth
What is (are) Dry Mouth ?,"Sjgren's Syndrome Clinic  National Institute of Dental and Craniofacial Research  Building 10, Room 1N113  10 Center Drive MSC 1190  Bethesda, MD 20892-1190  301-435-8528   http://www.nidcr.nih.gov/Research/NIDCRLaboratories/ MolecularPhysiology/SjogrensSyndrome/default.htm",NIHSeniorHealth,Dry Mouth
What is (are) Dry Mouth ?,"For information about the clinical trial on this topic, visit: http://www.clinicaltrials.gov/ct/show/NCT00372320?order=1. If you would like to read an interview with Dr. Bruce Baum, the study's principal investigator, click on: http://www.nidcr.nih.gov/Research/ ResearchResults/InterviewsOHR/TIS032007.htm.",NIHSeniorHealth,Dry Mouth
What are the treatments for Dry Mouth ?,"Dry mouth treatment will depend on what is causing the problem. If you think you have dry mouth, see your dentist or physician. He or she can help to determine what is causing your dry mouth. If your dry mouth is caused by medicine, your physician might change your medicine or adjust the dosage. If your salivary glands are not working right, but can still produce some saliva, your dentist or physician might give you a special medicine that helps the glands work better. He or she might suggest that you use artificial saliva to keep your mouth wet. (Watch the video to learn how dry mouth is treated. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Dry Mouth
What is (are) Dry Mouth ?,"You should avoid sticky and sugary foods. If you do eat them, brush immediately afterwards. Also, be aware that spicy and salty foods can cause pain in a dry mouth. You should also avoid drinks with caffeine and alcohol. They can dry out the mouth.",NIHSeniorHealth,Dry Mouth
What is (are) Dry Mouth ?,"National Institute of Dental and Craniofacial Research  1 NOHIC Way  Bethesda, MD 20892-3500  (301) 402-7364  http://www.nidcr.nih.gov",NIHSeniorHealth,Dry Mouth
What is (are) Osteoporosis ?,"A Bone Disease Osteoporosis is a disease that thins and weakens the bones to the point that they become fragile and break easily. Women and men with osteoporosis most often break bones in the hip, spine, and wrist, but any bone can be affected. You can't ""catch"" osteoporosis or give it to someone else. In the United States, more than 53 million people either already have osteoporosis or are at high risk due to low bone mass, placing them at risk for more serious bone loss and fractures. Although osteoporosis can strike at any age, it is most common among older people, especially older women. How Bone Loss Occurs Bone is living tissue. Throughout our lives, the body breaks down old bone and replaces it with new bone. But as people age, more bone is broken down than is replaced. The inside of a bone normally looks like a honeycomb, but when a person has osteoporosis, the spaces inside this honeycomb become larger, reflecting the loss of bone density and strength. (The word ""osteoporosis"" means ""porous bone."") The outside of long bones -- called the cortex -- also thins, further weakening the bone. Sometime around the age of 30, bone mass stops increasing, and the goal for bone health is to keep as much bone as possible for as long as you can. In most women, the rate of bone loss increases for several years after menopause, then slows down again, but continues. In men, the bone loss occurs more slowly. But by age 65 or 70, most men and women are losing bone at the same rate. Weak Bones Can Lead to Fractures Osteoporosis is often called ""silent"" because bone loss occurs without symptoms. People may not know that they have osteoporosis until a sudden strain, bump, or fall causes a bone to break. This can result in a trip to the hospital, surgery, and possibly a long-term disabling condition. Broken bones in your spine are painful and very slow to heal. People with weak bones in their spine gradually lose height and their posture becomes hunched over. Over time a bent spine can make it hard to walk or even sit up. Broken hips are a very serious problem as we age. They greatly increase the risk of death, especially during the year after they break. People who break a hip might not recover for months or even years. Because they often cannot care for themselves, they are more likely to have to live in a nursing home. Prevention and Treatment The good news is that osteoporosis can often be prevented and treated. Healthy lifestyle choices such as proper diet, exercise, and treatment medications can help prevent further bone loss and reduce the risk of fractures.",NIHSeniorHealth,Osteoporosis
Who is at risk for Osteoporosis? ?,"Risk Factors You Can't Change   Some risk factors for osteoporosis cannot be changed. These include - Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis.  - Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis.  - Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so.  - Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too.  - History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another. Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis. Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis. Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so. Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too. History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another. Risk Factors You Can Change There are other risk factors for osteoporosis that can be changed. -  Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health.  - Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise.  - Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.   Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health. Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise. Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.   - Medications. Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones.   - Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis.  Medications. Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones. Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis.  Use this checklist to find out if you are at risk for weak bones.  Many of these risk factors, both ones you can change and ones you cannot change, affect peak bone mass, which is when your bones achieve maximum strength and density. Because high peak bone density can reduce osteoporosis risk later in life, it makes sense to pay more attention to those factors that affect peak bone mass. Learn more about peak bone mass.",NIHSeniorHealth,Osteoporosis
What are the symptoms of Osteoporosis ?,"Fractures -- A Possible Warning Sign Osteoporosis does not have any symptoms until a fracture occurs. Women and men with osteoporosis most often break bones in the hip, spine, and wrist. But any fracture in an older person could be a warning sign that the bone is weaker than optimal. Some people may be unaware that they have already experienced one or more spine fractures. Height loss of one inch or more may be the first sign that someone has experienced spine fractures due to osteoporosis. Multiple spine fractures can cause a curved spine, stooped posture, back pain, and back fatigue. Women and men who have had a fracture are at high risk of experiencing another one. A fracture over the age of 50 or several fractures before that age may be a warning sign that a person has already developed osteoporosis. People over the age of 50 who have experienced a fracture should talk to their doctor about getting evaluated for osteoporosis. Risk Factors for Fractures The more likely you are to fall, the higher your risk for a fracture. And more severe falls increase your risk for fractures. Factors that increase your risk of falling and of fracturing a bone include - decreased muscle strength   - poor balance  -  impaired eyesight  - impaired mental abilities   - certain medications, such as tranquilizers and muscle relaxants  - hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks.  decreased muscle strength poor balance impaired eyesight impaired mental abilities certain medications, such as tranquilizers and muscle relaxants hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks. The angle at which you fall also affects your risk of fracture. Hip Fractures Although low bone mass (or low bone density) plays an important role in determining a person's risk of osteoporosis, it is only one of many risk factors for fractures. Various aspects of bone geometry, such as tallness, hip structure, and thighbone (femur) length, can also affect your chances of breaking a bone if you fall. Increasing age, too much weight loss, a history of fractures since age 50, having an existing spine fracture, and having a mother who fractured her hip all increase the risk of hip fracture regardless of a person's bone density. People with more risk factors have a higher chance of suffering a hip fracture.",NIHSeniorHealth,Osteoporosis
How to diagnose Osteoporosis ?,"Who Should Be Tested? The United States Preventive Service Task Force recommends that women aged 65 and older be screened (tested) for osteoporosis, as well as women aged 60 and older who are at increased risk for an osteoporosis-related fracture. However, the decision of whether or not to have a bone density test is best made between a patient and his or her physician. Medicare will usually cover the cost of a bone density test, and a follow up test every 2 years, for female beneficiaries. It also will cover screening and follow up of any male Medicare recipients who have significant risk factors for osteoporosis. When To Talk With a Doctor Consider talking to your doctor about being evaluated for osteoporosis if - you are a man or woman over age 50 or a postmenopausal woman and you break a bone  - you are a woman age 65 or older  - you are a woman younger than 65 and at high risk for fractures   - you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause  - you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss   - you have a chronic illness or are taking a medication that is known to cause bone loss   - you have anorexia nervosa or a history of this eating disorder.  - you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty.  you are a man or woman over age 50 or a postmenopausal woman and you break a bone you are a woman age 65 or older you are a woman younger than 65 and at high risk for fractures you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss you have a chronic illness or are taking a medication that is known to cause bone loss you have anorexia nervosa or a history of this eating disorder. you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty. Diagnosing Osteoporosis Diagnosing osteoporosis involves several steps, starting with a physical exam and a careful medical history, blood and urine tests, and possibly a bone mineral density assessment. When recording information about your medical history, your doctor will ask questions to find out whether you have risk factors for osteoporosis and fractures. The doctor may ask about -  any fractures you have had   -  your lifestyle (including diet, exercise habits, and whether you smoke)  - current or past health problems   - medications that could contribute to low bone mass and increased fracture risk  - your family history of osteoporosis and other diseases   - for women, your menstrual history.  any fractures you have had your lifestyle (including diet, exercise habits, and whether you smoke) current or past health problems medications that could contribute to low bone mass and increased fracture risk your family history of osteoporosis and other diseases for women, your menstrual history. The doctor will also do a physical exam that should include checking for loss of height and changes in posture and may include checking your balance and gait (the way you walk). Bone Density Tests The test used to diagnose osteoporosis is called a bone density test. This test is a measure of how strong -- or dense -- your bones are and can help your doctor predict your risk for having a fracture. Bone density tests are painless, safe, and require no preparation on your part. Bone density tests compare your bone density to the bones of an average healthy young adult. The test result, known as a T-score, tells you how strong your bones are, whether you have osteoporosis or osteopenia (low bone mass that is not low enough to be diagnosed as osteoporosis), and your risk for having a fracture. Some bone density tests measure the strength of the hip, spine, and/or wrist, which are the bones that break most often in people with osteoporosis. Other tests measure bone in the heel or hand. Although no bone density test is 100 percent accurate, it is the single most important diagnostic test to predict whether a person will have a fracture in the future. The most widely recognized bone density test is a central DXA (dual-energy x-ray absorptiometry) scan of the hip and spine. This test shows if you have normal bone density, low bone mass, or osteoporosis. It is also used to monitor bone density changes as a person ages or in response to treatment.",NIHSeniorHealth,Osteoporosis
What are the treatments for Osteoporosis ?,"Who Treats Osteoporosis? Although there is no cure for osteoporosis, it can be treated. If your doctor does not specialize in osteoporosis, he or she can refer you to a specialist. There is not one type of doctor who cares for people with osteoporosis. Many family doctors have been learning about osteoporosis and can treat people who have it. Endocrinologists, rheumatologists, geriatricians, and internists are just a few of the specialists who can provide care to people with osteoporosis.  Here is how to find an appropriate health care professional to treat osteoporosis. The Goal of Treatment The goal of treatment is to prevent fractures. A balanced diet rich in calcium, adequate vitamin D, a regular exercise program, and fall prevention are all important for maintaining bone health. Medications Several medications are approved by the Food and Drug Administration for the treatment of osteoporosis. Since all medications have side effects, it is important to talk to your doctor about which medication is right for you. Bisphosphonates. Several bisphosphonates are approved for the prevention or treatment of osteoporosis. These medications reduce the activity of cells that cause bone loss. - Side effects of taking oral bisphosphonates may include nausea, heartburn, and stomach pain, including serious digestive problems if they are not taken properly. Side effects of taking oral bisphosphonates may include nausea, heartburn, and stomach pain, including serious digestive problems if they are not taken properly. - A few people have muscle, bone, or joint pain while using these medicines.  A few people have muscle, bone, or joint pain while using these medicines. -  Side effects of intravenous bisphosphonates may include flu-like symptoms such as fever, pain in muscles or joints, and headaches. These symptoms usually stop after a few days. In rare cases, deterioration of the jawbone or an unusual type of broken bone in the femur (thigh bone) has occurred in people taking bisphosphonates.  Side effects of intravenous bisphosphonates may include flu-like symptoms such as fever, pain in muscles or joints, and headaches. These symptoms usually stop after a few days. In rare cases, deterioration of the jawbone or an unusual type of broken bone in the femur (thigh bone) has occurred in people taking bisphosphonates. - The Food and Drug Administration recommends that health care professionals consider periodic reevaluation of the need for continued bisphosphonate therapy, particularly for patients who have been on bisphosphonates for longer than 5 years. The Food and Drug Administration recommends that health care professionals consider periodic reevaluation of the need for continued bisphosphonate therapy, particularly for patients who have been on bisphosphonates for longer than 5 years. Parathyroid hormone. A form of human parathyroid hormone (PTH) is approved for postmenopausal women and men with osteoporosis who are at high risk for having a fracture. Use of the drug for more than 2 years is not recommended.  RANK ligand (RANKL) inhibitor. A RANK ligand (RANKL) inhibitor is approved for postmenopausal women with osteoporosis who are at high risk for fracture Estrogen agonists/antagonists. An estrogen agonist/ antagonist (also called a selective estrogen receptor modulator or SERM) is approved for the prevention and treatment of osteoporosis in postmenopausal women. SERMs are not estrogens, but they have estrogen-like effects on some tissues and estrogen-blocking effects on other tissues. Calcitonin. Calcitonin is approved for the treatment of osteoporosis in women who are at least 5 years beyond menopause. Calcitonin is a hormone involved in calcium regulation and bone metabolism. Estrogen and Hormone Therapy. Estrogen is approved for the treatment of menopausal symptoms and osteoporosis in women after menopause. - Because of recent evidence that breast cancer, strokes, blood clots, and heart attacks may be increased in some women who take estrogen, the Food and Drug Administration recommends that women take the lowest effective dose for the shortest period possible. Estrogen should only be considered for women at significant risk for osteoporosis, and nonestrogen medications should be carefully considered first. Because of recent evidence that breast cancer, strokes, blood clots, and heart attacks may be increased in some women who take estrogen, the Food and Drug Administration recommends that women take the lowest effective dose for the shortest period possible. Estrogen should only be considered for women at significant risk for osteoporosis, and nonestrogen medications should be carefully considered first.",NIHSeniorHealth,Osteoporosis
what research (or clinical trials) is being done for Osteoporosis ?,"Scientists are pursuing a wide range of basic and clinical studies on osteoporosis. Significant advances in preventing and treating osteoporosis continue to be made. Such advances are the direct result of research focused on -  determining the causes and consequences of bone loss at the cellular and tissue levels  - assessing risk factors  - developing new strategies to maintain and even enhance bone density and reduce fracture risk  - exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass. determining the causes and consequences of bone loss at the cellular and tissue levels assessing risk factors developing new strategies to maintain and even enhance bone density and reduce fracture risk exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass.  Get more information about ongoing research on osteoporosis from the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at NIH.",NIHSeniorHealth,Osteoporosis
What is (are) Osteoporosis ?,"Osteoporosis is a disease that thins and weakens the bones to the point that they break easily. Women and men with osteoporosis most often break bones in the hip, spine, and wrist, but osteoporosis can be the cause of bone fractures anywhere.",NIHSeniorHealth,Osteoporosis
Who is at risk for Osteoporosis? ?,"Some risk factors for osteoporosis cannot be changed. These include - Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis.  - Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis.  - Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so.  - Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too.  - History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another. Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis. Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis. Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so. Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too. History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another.",NIHSeniorHealth,Osteoporosis
Who is at risk for Osteoporosis? ?,"Here are risk factors for osteoporosis that you can control. -  Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health.  - Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise.  - Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.    - Medications.  Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones.  - Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis. Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health. Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise. Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.  Medications.  Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones. Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis.",NIHSeniorHealth,Osteoporosis
